Note : les OK (ou non-OK) concernent la tendance globale, il peut y avoir des églises marginales.;;;;Note: être sûr d'où se situe (par rapport au Salut surtout) les mennonites, les anabaptistes, les amish, les mormons, les témoins de  jehovah, les adventistes, et les méthodistes, les ebionites
;;;;
;Baptisme;Darbyisme;Autres dénomination/religion;
Salut;OK;OK;non OK;
Eglise est Israël;dépend des églises;non OK;;
non-dispentionaliste;dépend des églises;non OK;;
non baptême des enfants;OK;OK;;
texte majoritaire only;dépend des églises;non OK;;
observance des commandements de l'Ancien Testament;dépend des dénominations, ça va de non OK à mid OK (disons 5/10) (ceux qui considèrent les mitzvot ne les considèrent qu'en partie, le shabbat n'est pas considéré par exemple);non OK;;
une assemblée peut avoir plusieurs anciens/pasteurs;OK;OK;;
"""une assemblée ne peut pas avoir qu'un seul ancien/pasteur""";non OK;mid OK (disons 9/10) (en ce qu'il est très rares qu'il n'y ait qu'un seul ancien);;
évangelisation;OK;OK;;
non pre-trib;dépend des églises;non OK;;
disent le Notre Père (Lc 11:2-4);non OK;non OK;;
score final :;de 4/11 à 8.5/11 selon les dénominations (7,3/20 à 15,5/20);4.9/11 (8.9/20);0/20;
;;;;
dénominations;IFB (conservatrice), NIFB (fondamental);;"""évangélique"", pentecôtiste, catholique, calviniste, luthérien, ""nazaréen"", musulman, 'juif' babylonien";
problème des ultra conservateurs :;pour les dénominations OK : ne gardent pas suffisament les mitzvots, n'éprouvent pas la traduction KJV, et acceptent qu'une assemblée n'ait qu'un ancien/pasteur;cf. les non OK ci-dessus;font/disent/croient n'importe quoi;
